registro_date_1;registro_time_1;registro_float_1;registro_float_2
2017-10-08;17:35:00;1527485.75;1128376
2017-10-08;17:40:00;1.350.532.375;10.252.065.625
2017-10-08;17:45:00;1356796;10.207.954.375
2017-10-08;17:50:00;1352701.25;10.206.841.875
2017-10-08;17:55:00;1.360.056.875;10.276.419.375
2017-10-08;18:00:00;1.349.914.875;1.009.258.625
2017-10-08;18:05:00;1360256;1.013.418.375
2017-10-08;18:10:00;1.374.525.875;10.369.289.375
2017-10-08;18:15:00;1417472.25;1.068.922.875
2017-10-08;18:20:00;1.401.933.125;10.467.931.875
2017-10-08;18:25:00;1.410.963.875;1059389.75
2017-10-08;18:30:00;1421387.5;1071371.5
2017-10-08;18:35:00;1413667.75;1064177.75
2017-10-08;18:40:00;1414319;1065479
2017-10-08;18:45:00;1.426.282.875;1087030.5
2017-10-08;18:50:00;1406781.5;1071147.25
2017-10-08;18:55:00;1.391.439.625;1065923
2017-10-08;19:00:00;1381817.75;1.043.888.125
2017-10-08;19:05:00;1.362.407.125;10.245.758.125
2017-10-08;19:10:00;1.336.910.375;10.269.094.375
2017-10-08;19:15:00;1.362.022.625;1.008.499.375
2017-10-08;19:20:00;1.360.973.625;1017161.75
2017-10-08;19:25:00;1.334.718.625;9.883.824.375
2017-10-08;19:30:00;1.376.883.625;10.167.278.125
2017-10-08;19:35:00;1.381.660.125;10.226.018.125
2017-10-08;19:40:00;1.390.602.875;10.289.470.625
2017-10-08;19:45:00;1.377.933.625;10.235.921.875
2017-10-08;19:50:00;1.385.619.125;1.032.565.625
2017-10-08;19:55:00;1.396.663.375;10.457.981.875
2017-10-08;20:00:00;1426756;1054876.5
2017-10-08;20:05:00;1802272;1323165
2017-10-08;20:10:00;1856369.75;1.345.442.625
2017-10-08;20:15:00;1.803.156.125;1.298.425.875
2017-10-08;20:20:00;1.800.154.625;1301541.75
2017-10-08;20:25:00;1.790.336.375;1287494.25
2017-10-08;20:30:00;1704143.5;1236346.5
2017-10-08;20:35:00;1.438.138.375;1.075.586.375
2017-10-08;20:40:00;1376806.5;1.031.776.375
2017-10-08;20:45:00;1375830.25;10.241.643.125
2017-10-08;20:50:00;1375442.25;10.239.735.625
2017-10-08;20:55:00;1423834;1.080.833.375
2017-10-08;21:00:00;1473813.5;1130367.75
2017-10-08;21:05:00;1.485.816.625;1148717.5
2017-10-08;21:10:00;1474415.25;1.138.902.625
2017-10-08;21:15:00;1.475.141.625;1133235.25
2017-10-08;21:20:00;1514910;1173952.75
2017-10-08;21:25:00;1676682;1.346.882.625
2017-10-08;21:30:00;1718511.5;1402657
2017-10-08;21:35:00;1781071.25;1468061
2017-10-08;21:40:00;1634806.25;1.309.991.375
2017-10-08;21:45:00;1586943.5;1.253.005.125
2017-10-08;21:50:00;1592477;1254689.5
2017-10-08;21:55:00;1648155;1303579.25
2017-10-08;22:00:00;1.627.379.625;1290671.25
2017-10-08;22:05:00;1.655.095.125;1.320.651.375
2017-10-08;22:10:00;1.676.075.625;1.344.487.375
2017-10-08;22:15:00;1.614.304.875;1271620
2017-10-08;22:20:00;1.560.041.875;1.220.190.875
2017-10-08;22:25:00;1571116.25;1241312.75
2017-10-08;22:30:00;1562480.75;1226822.75
2017-10-08;22:35:00;1531358;1.196.292.125
2017-10-08;22:40:00;1522749;1193961.75
2017-10-08;22:45:00;1.564.274.875;1234051.5
2017-10-08;22:50:00;1507876.5;1185175.25
2017-10-08;22:55:00;1.532.652.125;1207816.75
2017-10-08;23:00:00;1527937.75;1.195.982.625
2017-10-08;23:05:00;1560490.75;1232368.75
2017-10-08;23:10:00;1552728.75;1.235.730.125
2017-10-08;23:15:00;1800360.5;1378146.75
2017-10-08;23:20:00;1.969.578.875;1.486.102.375
2017-10-08;23:25:00;1975799.5;1.490.983.125
2017-10-08;23:30:00;1948215;1463326.25
2017-10-08;23:35:00;1974659.75;1.481.692.375
2017-10-08;23:40:00;1.926.042.375;1425336.75
2017-10-08;23:45:00;1892420.75;1390756.25
2017-10-08;23:50:00;1897427;1.393.948.625
2017-10-08;23:55:00;1.890.860.125;1.401.383.875
2017-10-09;00:00:00;1.972.007.625;1488247.5
2017-10-09;00:05:00;2.071.957.875;1512914.75
2017-10-09;00:10:00;2079549;1516752.25
2017-10-09;00:15:00;2105155.75;1552167.5
2017-10-09;00:20:00;2139911.75;1.580.741.875
2017-10-09;00:25:00;2109139.25;1566484.75
2017-10-09;00:30:00;2123202.25;1.573.263.375
2017-10-09;00:35:00;2103956.75;1564022.25
2017-10-09;00:40:00;2115235.75;1558138.5
2017-10-09;00:45:00;2107142;1550164.75
2017-10-09;00:50:00;1947696.75;1.454.348.875
2017-10-09;00:55:00;1.735.313.625;1304936.25
2017-10-09;01:00:00;1.611.030.375;1199120.25
2017-10-09;01:05:00;1.600.374.875;1191387.25
2017-10-09;01:10:00;1614471.5;1208641.5
2017-10-09;01:15:00;1646523.75;1233861
2017-10-09;01:20:00;1654461.5;1242376.5
2017-10-09;01:25:00;1.655.373.125;1251672.5
2017-10-09;01:30:00;1.640.919.375;1.236.093.375
2017-10-09;01:35:00;1.643.266.375;1231801.75
2017-10-09;01:40:00;1.679.156.125;1270126.5
2017-10-09;01:45:00;1659158.75;1247312.5
2017-10-09;01:50:00;1.640.857.875;1.231.474.375
2017-10-09;01:55:00;1642481.25;1232053.75
2017-10-09;02:00:00;1.649.358.625;1234343.5
2017-10-09;02:05:00;1.652.896.375;1.241.292.875
2017-10-09;02:10:00;1.627.519.625;1.225.273.125
2017-10-09;02:15:00;1.646.639.375;1237194
2017-10-09;02:20:00;1.667.222.375;1.268.365.625
2017-10-09;02:25:00;1.654.445.125;1246269.25
2017-10-09;02:30:00;1654041;1.245.187.625
2017-10-09;02:35:00;1665882;1.253.264.375
2017-10-09;02:40:00;1642457;1230420.25
2017-10-09;02:45:00;1653170.25;1239241
2017-10-09;02:50:00;1678548.5;1280506.75
2017-10-09;02:55:00;1.663.358.125;1259352.25
2017-10-09;03:00:00;1665835;1.258.583.125
2017-10-09;03:05:00;1653078.75;1.244.324.125
2017-10-09;03:10:00;1.644.722.125;1.238.110.625
2017-10-09;03:15:00;1667792.5;1259102.5
2017-10-09;03:20:00;1.651.476.625;1.247.019.875
2017-10-09;03:25:00;1531453.5;1112743
2017-10-09;03:30:00;1.533.796.875;1.115.955.375
2017-10-09;03:35:00;1.539.010.375;1124491.5
2017-10-09;03:40:00;1.517.392.625;1.110.354.375
2017-10-09;03:45:00;1508409;1.125.615.125
2017-10-09;03:50:00;1391789;1.054.614.875
2017-10-09;03:55:00;1360913;10.382.493.125
2017-10-09;04:00:00;1399078.25;10.272.529.375
2017-10-09;04:05:00;1389100.25;10.381.298.125
2017-10-09;04:10:00;1388170.5;1036687.75
2017-10-09;04:15:00;1390927.75;10.435.266.875
2017-10-09;04:20:00;1.395.055.125;10.464.378.125
2017-10-09;04:25:00;1.367.458.125;1010292.75
2017-10-09;04:30:00;1.362.326.125;10.194.089.375
2017-10-09;04:35:00;1.381.414.125;1042241.75
2017-10-09;04:40:00;1380974;1028248.75
2017-10-09;04:45:00;1.378.110.125;10.264.394.375
2017-10-09;04:50:00;1383591.5;10.274.736.875
