registroDate1;registrotime1;registroFloat1;registroFloat2
20171101;00:00:00;725713.75;58.300.508.333.333
20171101;00:05:00;72.753.891.666.667;58.076.783.333.333
20171101;00:10:00;73.153.416.666.667;58.904.929.166.667
20171101;00:15:00;75.227.283.333.333;60.737.695.833.333
20171101;00:20:00;74.299.083.333.333;59.599.816.666.667
20171101;00:25:00;80.199.283.333.333;63.149.316.666.667
20171101;00:30:00;829816.25;64.858.595.833.333
20171101;00:35:00;82.714.416.666.667;64.682.708.333.333
20171101;00:40:00;81.470.683.333.333;63.571.233.333.333
20171101;00:45:00;70.426.308.333.333;50.831.145.833.333
20171101;00:50:00;69.725.429.166.667;53.548.079.166.667
20171101;00:55:00;91.478.291.666.667;71.310.958.333.333
20171101;01:00:00;103.093.558.333.333;83.229.366.666.667
20171101;01:05:00;89.700.766.666.667;685093
20171101;01:10:00;892091.25;682768
20171101;01:15:00;88.435.208.333.333;671586.75
20171101;01:20:00;83.586.766.666.667;64.341.758.333.333
20171101;01:25:00;76.115.241.666.667;62.726.929.166.667
20171101;01:30:00;74.005.891.666.667;570.242.875
20171101;01:35:00;693.769.625;53.498.745.833.333
20171101;01:40:00;67.642.958.333.333;52.227.016.666.667
20171101;01:45:00;63.611.720.833.333;512.966.125
20171101;01:50:00;74.003.091.666.667;55.240.645.833.333
20171101;01:55:00;656.268.125;500576
20171101;02:00:00;627.547.875;505878.25
20171101;02:05:00;67.491.841.666.667;51.768.691.666.667
20171101;02:10:00;71.042.858.333.333;55.595.366.666.667
20171101;02:15:00;687.094.625;52.971.245.833.333
20171101;02:20:00;69.791.454.166.667;54.018.766.666.667
20171101;02:25:00;710853.75;55.318.720.833.333
20171101;02:30:00;68.683.733.333.333;53.069.345.833.333
20171101;02:35:00;65.093.904.166.667;537.649.125
20171101;02:40:00;701180.25;547032.75
20171101;02:45:00;67.043.179.166.667;51.390.416.666.667
20171101;02:50:00;67.837.691.666.667;521650.25
20171101;02:55:00;639154.5;52.876.345.833.333
20171101;03:00:00;68.652.291.666.667;52.945.583.333.333
20171101;03:05:00;669.065.125;512259.25
20171101;03:10:00;67.757.895.833.333;52.337.904.166.667
20171101;03:15:00;66.004.983.333.333;50.963.170.833.333
20171101;03:20:00;62.340.654.166.667;477810.5
20171101;03:25:00;71.652.391.666.667;539.175.375
20171101;03:30:00;72.589.008.333.333;550078.5
20171101;03:35:00;740854.25;56.590.291.666.667
20171101;03:40:00;75.704.716.666.667;58.502.420.833.333
20171101;03:45:00;776605.5;595864.5
20171101;03:50:00;78.630.283.333.333;612.282.625
20171101;03:55:00;77.630.458.333.333;58.986.529.166.667
20171101;04:00:00;76.437.091.666.667;57.309.433.333.333
20171101;04:05:00;76.470.016.666.667;57.344.770.833.333
20171101;04:10:00;77.139.016.666.667;58.495.404.166.667
20171101;04:15:00;75.029.041.666.667;562614.5
20171101;04:20:00;75.721.491.666.667;56.773.191.666.667
20171101;04:25:00;740173.25;54.676.854.166.667
20171101;04:30:00;73.924.066.666.667;544919.5
20171101;04:35:00;74.040.191.666.667;550.330.375
20171101;04:40:00;73.536.141.666.667;54.892.566.666.667
20171101;04:45:00;73.753.991.666.667;548465.5
20171101;04:50:00;738084;546423.75
20171101;04:55:00;69.211.629.166.667;54.527.516.666.667
20171101;05:00:00;72.729.991.666.667;537026.25
20171101;05:05:00;684044;55.144.095.833.333
20171101;05:10:00;72.430.591.666.667;533.323.375
20171101;05:15:00;72.883.866.666.667;53.630.358.333.333
20171101;05:20:00;76.229.433.333.333;574811.5
20171101;05:25:00;76.222.241.666.667;57.486.158.333.333
