registroDate1;registrotime1;registroFloat1;registroFloat2
12102017;22:15:00;1.541.837.625;1155731.75
08102017;17:35:00;1527485.75;1128376
08102017;17:40:00;1.350.532.375;10.252.065.625
08102017;17:45:00;1356796;10.207.954.375
08102017;17:50:00;1352701.25;10.206.841.875
08102017;17:55:00;1.360.056.875;10.276.419.375
08102017;18:00:00;1.349.914.875;1.009.258.625
08102017;18:05:00;1360256;1.013.418.375
08102017;18:10:00;1.374.525.875;10.369.289.375
08102017;18:15:00;1417472.25;1.068.922.875
08102017;18:20:00;1.401.933.125;10.467.931.875
08102017;18:25:00;1.410.963.875;1059389.75
08102017;18:30:00;1421387.5;1071371.5
08102017;18:35:00;1413667.75;1064177.75
08102017;18:40:00;1414319;1065479
08102017;18:45:00;1.426.282.875;1087030.5
08102017;18:50:00;1406781.5;1071147.25
08102017;18:55:00;1.391.439.625;1065923
08102017;19:00:00;1381817.75;1.043.888.125
08102017;19:05:00;1.362.407.125;10.245.758.125
08102017;19:10:00;1.336.910.375;10.269.094.375
08102017;19:15:00;1.362.022.625;1.008.499.375
08102017;19:20:00;1.360.973.625;1017161.75
08102017;19:25:00;1.334.718.625;9.883.824.375
08102017;19:30:00;1.376.883.625;10.167.278.125
08102017;19:35:00;1.381.660.125;10.226.018.125
08102017;19:40:00;1.390.602.875;10.289.470.625
08102017;19:45:00;1.377.933.625;10.235.921.875
08102017;19:50:00;1.385.619.125;1.032.565.625
08102017;19:55:00;1.396.663.375;10.457.981.875
08102017;20:00:00;1426756;1054876.5
08102017;20:05:00;1802272;1323165
08102017;20:10:00;1856369.75;1.345.442.625
08102017;20:15:00;1.803.156.125;1.298.425.875
08102017;20:20:00;1.800.154.625;1301541.75
08102017;20:25:00;1.790.336.375;1287494.25
08102017;20:30:00;1704143.5;1236346.5
08102017;20:35:00;1.438.138.375;1.075.586.375
08102017;20:40:00;1376806.5;1.031.776.375
08102017;20:45:00;1375830.25;10.241.643.125
08102017;20:50:00;1375442.25;10.239.735.625
08102017;20:55:00;1423834;1.080.833.375
08102017;21:00:00;1473813.5;1130367.75
08102017;21:05:00;1.485.816.625;1148717.5
08102017;21:10:00;1474415.25;1.138.902.625
08102017;21:15:00;1.475.141.625;1133235.25
08102017;21:20:00;1514910;1173952.75
08102017;21:25:00;1676682;1.346.882.625
08102017;21:30:00;1718511.5;1402657
08102017;21:35:00;1781071.25;1468061
08102017;21:40:00;1634806.25;1.309.991.375
08102017;21:45:00;1586943.5;1.253.005.125
08102017;21:50:00;1592477;1254689.5
08102017;21:55:00;1648155;1303579.25
