registroDate1;registrotime1;registroFloat1;registroFloat2
12102017;22:15:00;1.541.837.625;1155731.75
12102017;22:20:00;1.517.814.125;1126620
12102017;22:25:00;1497596;1.108.648.625
12102017;22:30:00;1371054.25;1006638
12102017;22:35:00;1353486;1001605.25
12102017;22:40:00;1472745.75;1.079.844.625
12102017;22:45:00;1473483.25;1093400
12102017;22:50:00;1459407.5;1.075.675.125
12102017;22:55:00;1.463.265.875;1101503.5
12102017;23:00:00;1.484.311.625;1092511.5
12102017;23:05:00;1476973.25;1105359
12102017;23:10:00;1607769.75;1.207.838.125
12102017;23:15:00;1.583.215.875;1206617.75
12102017;23:20:00;1601091.5;1.183.963.875
12102017;23:25:00;1623573.75;1.207.525.875
12102017;23:30:00;1615938.25;1.249.500.875
12102017;23:35:00;1.598.865.875;1.208.761.875
12102017;23:40:00;1591579.75;1196243.5
12102017;23:45:00;1.678.887.875;1309871.75
12102017;23:50:00;1.657.913.375;1255057
12102017;23:55:00;1605734;1213931.75
13102017;00:00:00;1531946.5;1131346.75
13102017;00:05:00;1.492.000.375;1105524.25
13102017;00:10:00;1.465.068.875;1078861
13102017;00:15:00;1495307.75;1.103.171.125
13102017;00:20:00;1490367;1083530.5
13102017;00:25:00;1511918;1105613.25
13102017;00:30:00;1.515.222.125;1.117.876.375
13102017;00:35:00;1482295.5;1.085.276.125
13102017;00:40:00;1.494.658.875;1084706.25
13102017;00:45:00;1490097;1.073.700.375
13102017;00:50:00;1508915.5;1.102.280.125
13102017;00:55:00;1498885.5;1096280.25
13102017;01:00:00;1458875.25;1.060.933.875
13102017;01:05:00;1.501.012.125;1.107.444.875
13102017;01:10:00;1.475.198.375;1.088.290.875
